,quote,author,tags,likes
0,"All the world is made of faith, and trust, and pixie dust.","J.M. Barrie,","faith, life, pixie-dust, trust",9013
1,Faithless is he that says farewell when the road darkens.,"J.R.R. Tolkien,",faith,8622
2,"I believe in everything until it's disproved. So I believe in fairies, the myths, dragons. It all exists, even if it's in your mind. Who's to say that dreams and nightmares aren't as real as the here and now?",John Lennon,"beatles, dragons, dreamers, dreaming, dreams, fairies, faith, mythology, nightmares, reality, truth",8588
3,"I think if I've learned anything about friendship, it's to hang in, stay connected, fight for them, and let them fight for you. Don't walk away, don't be distracted, don't be too busy or tired, don't take them for granted. Friends are part of the glue that holds life and faith together. Powerful stuff.",Jon Katz,"faith, friends, friendship, love",6960
4,I have great faith in fools - self-confidence my friends will call it.,"Edgar Allan Poe,","faith, fool, humor, self-confidence, self-irony",6440
5,"If he’s not calling you, it’s because you are not on his mind. If he creates expectations for you, and then doesn’t follow through on little things, he will do same for big things. Be aware of this and realize that he’s okay with disappointing you. Don’t be with someone who doesn’t do what they say they’re going to do. If he’s choosing not to make a simple effort that would put you at ease and bring harmony to a recurring fight, then he doesn’t respect your feelings and needs. “Busy” is another word for “asshole.” “Asshole” is another word for the guy you’re dating. You deserve a fcking phone call.",Greg Behrendt,"busy, call, dating, dating-advice, faith, greg-behrendt, guys, he-s-not-just-into-you, love, marriage, romance, true",5997
6,"And now these three remain: faith, hope and love. But the greatest of these is love.","Anonymous,","faith, god, hope, love",5891
7,"Keep Going

Your hardest times often lead to the greatest moments of your life. Keep going. Tough situations build strong people in the end.","Roy T. Bennett,","adversity, authentic-living, being-positive, faith, inspiration, inspirational, inspirational-quotes, life, life-and-living, life-quotes, motivation, never-give-up, optimism, optimistic, persistence, positive, positive-affirmation, positive-life, positive-thinking",5182
8,"God will not look you over for medals, degrees or diplomas but for scars.",Elbert Hubbard,"faith, god, wisdom",5179
9,"The function of prayer is not to influence God, but rather to change the nature of the one who prays.",Soren Kierkegaard,"faith, god, prayer",4481
10,"And still, after all this time,
The sun never says to the earth,
""You owe Me.""

Look what happens with
A love like that,
It lights the Whole Sky.",Hafiz,"faith, inspiration",4227
11,Never be afraid to trust an unknown future to a known God.,Corrie ten Boom,"faith, future, god, trust",4093
12,"I am trying here to prevent anyone saying the really foolish thing that people often say about Him: I’m ready to accept Jesus as a great moral teacher, but I don’t accept his claim to be God. That is the one thing we must not say. A man who was merely a man and said the sort of things Jesus said would not be a great moral teacher. He would either be a lunatic — on the level with the man who says he is a poached egg — or else he would be the Devil of Hell. You must make your choice. Either this man was, and is, the Son of God, or else a madman or something worse. You can shut him up for a fool, you can spit at him and kill him as a demon or you can fall at his feet and call him Lord and God, but let us not come with any patronizing nonsense about his being a great human teacher. He has not left that open to us. He did not intend to.","C.S. Lewis,","faith, god, jesus",3746
13,"I have come to accept the feeling of not knowing where I am going. And I have trained myself to love it. Because it is only when we are suspended in mid-air with no landing in sight, that we force our wings to unravel and alas begin our flight. And as we fly, we still may not know where we are going to. But the miracle is in the unfolding of the wings. You may not know where you're going, but you know that so long as you spread your wings, the winds will carry you.",C. JoyBell C.,"belief, direction, faith, flight, flying, flying-spirit, hope, inspirational, inspirational-life, inspirational-quotes, life, life-and-living, living, trust, uplifting, winds, winds-of-life, wings",3575
14,"Do not be afraid; our fate
Cannot be taken from us; it is a gift.","Dante Alighieri,","faith, fate, fear",3263
15,"Therefore, dear Sir, love your solitude and try to sing out with the pain it causes you. For those who are near you are far away... and this shows that the space around you is beginning to grow vast.... be happy about your growth, in which of course you can't take anyone with you, and be gentle with those who stay behind; be confident and calm in front of them and don't torment them with your doubts and don't frighten them with your faith or joy, which they wouldn't be able to comprehend. Seek out some simple and true feeling of what you have in common with them, which doesn't necessarily have to alter when you yourself change again and again; when you see them, love life in a form that is not your own and be indulgent toward those who are growing old, who are afraid of the aloneness that you trust.... and don't expect any understanding; but believe in a love that is being stored up for you like an inheritance, and have faith that in this love there is a strength and a blessing so large that you can travel as far as you wish without having to step outside it.","Rainer Maria Rilke,","aloneness, change, common-ground, faith, love, loved-ones, relationships, solitude",3185
16,Faith is not the belief that God will do what you want. It is the belief that God will do what is right.,"Max Lucado,",faith,3103
17,"You must not lose faith in humanity. Humanity is like an ocean; if a few drops of the ocean are dirty, the ocean does not become dirty.",Mahatma Gandhi,"faith, humanity, ocean",3101
18,"Sometimes beautiful things come into our lives out of nowhere. We can't always understand them, but we have to trust in them. I know you want to question everything, but sometimes it pays to just have a little faith.","Lauren Kate,","beautiful, faith",3067
19,All I have seen teaches me to trust the Creator for all I have not seen.,Ralph Waldo Emerson,"belief, experience, faith, judging-from-experience, religion, unseen",2874
20,I talk to God but the sky is empty.,Sylvia Plath,"doubt, faith, god, prayer",2453
21,"None of us knows what might happen even the next minute, yet still we go forward. Because we trust. Because we have faith.",Paulo Coelho,"faith, trust",2434
22,"I'm about to make a wild, extreme and severe relationship rule: the word busy is a load of crap and is most often used by assholes. The word ""busy"" is the relationship Weapon of Mass Destruction. It seems like a good excuse, but in fact in every silo you uncover, all you're going to find is a man who didn't care enough to call. Remember men are never to busy to get what they want.",Greg Behrendt,"behrendt, call, dating, faith, greg, he-s-not-just-into-you, love, marriage, romance, true, true-love, truth",2284
23,"No matter how old you are now. You are never too young or too old for success or going after what you want. Here’s a short list of people who accomplished great things at different ages
1) Helen Keller, at the age of 19 months, became deaf and blind. But that didn’t stop her. She was the first deaf and blind person to earn a Bachelor of Arts degree.
2) Mozart was already competent on keyboard and violin; he composed from the age of 5.
3) Shirley Temple was 6 when she became a movie star on “Bright Eyes.”
4) Anne Frank was 12 when she wrote the diary of Anne Frank.
5) Magnus Carlsen became a chess Grandmaster at the age of 13.
6) Nadia Comăneci was a gymnast from Romania that scored seven perfect 10.0 and won three gold medals at the Olympics at age 14.
7) Tenzin Gyatso was formally recognized as the 14th Dalai Lama in November 1950, at the age of 15.
8) Pele, a soccer superstar, was 17 years old when he won the world cup in 1958 with Brazil.
9) Elvis was a superstar by age 19.
10) John Lennon was 20 years and Paul Mcartney was 18 when the Beatles had their first concert in 1961.
11) Jesse Owens was 22 when he won 4 gold medals in Berlin 1936.
12) Beethoven was a piano virtuoso by age 23
13) Issac Newton wrote Philosophiæ Naturalis Principia Mathematica at age 24
14) Roger Bannister was 25 when he broke the 4 minute mile record
15) Albert Einstein was 26 when he wrote the theory of relativity
16) Lance E. Armstrong was 27 when he won the tour de France
17) Michelangelo created two of the greatest sculptures “David” and “Pieta” by age 28
18) Alexander the Great, by age 29, had created one of the largest empires of the ancient world
19) J.K. Rowling was 30 years old when she finished the first manuscript of Harry Potter
20) Amelia Earhart was 31 years old when she became the first woman to fly solo across the Atlantic Ocean
21) Oprah was 32 when she started her talk show, which has become the highest-rated program of its kind
22) Edmund Hillary was 33 when he became the first man to reach Mount Everest
23) Martin Luther King Jr. was 34 when he wrote the speech “I Have a Dream.""
24) Marie Curie was 35 years old when she got nominated for a Nobel Prize in Physics
25) The Wright brothers, Orville (32) and Wilbur (36) invented and built the world's first successful airplane and making the first controlled, powered and sustained heavier-than-air human flight
26) Vincent Van Gogh was 37 when he died virtually unknown, yet his paintings today are worth millions.
27) Neil Armstrong was 38 when he became the first man to set foot on the moon.
28) Mark Twain was 40 when he wrote ""The Adventures of Tom Sawyer"", and 49 years old when he wrote ""Adventures of Huckleberry Finn""
29) Christopher Columbus was 41 when he discovered the Americas
30) Rosa Parks was 42 when she refused to obey the bus driver’s order to give up her seat to make room for a white passenger
31) John F. Kennedy was 43 years old when he became President of the United States
32) Henry Ford Was 45 when the Ford T came out.
33) Suzanne Collins was 46 when she wrote ""The Hunger Games""
34) Charles Darwin was 50 years old when his book On the Origin of Species came out.
35) Leonardo Da Vinci was 51 years old when he painted the Mona Lisa.
36) Abraham Lincoln was 52 when he became president.
37) Ray Kroc Was 53 when he bought the McDonalds Franchise and took it to unprecedented levels.
38) Dr. Seuss was 54 when he wrote ""The Cat in the Hat"".
40) Chesley ""Sully"" Sullenberger III was 57 years old when he successfully ditched US Airways Flight 1549 in the Hudson River in 2009. All of the 155 passengers aboard the aircraft survived
41) Colonel Harland Sanders was 61 when he started the KFC Franchise
42) J.R.R Tolkien was 62 when the Lord of the Ring books came out
43) Ronald Reagan was 69 when he became President of the US
44) Jack Lalane at age 70 handcuffed, shackled, towed 70 rowboats
45) Nelson Mandela was 76 when he became President",Pablo,"age, confidence, discipline, effort, excuses, failure, faith, isnpiration, love, motivation, olympics, opportunities, opportunity, president, success",2182
24,Be Brave and Take Risks: You need to have faith in yourself. Be brave and take risks. You don't have to have it all figured out to move forward.,"Roy T. Bennett,","authentic-living, being-positive, brave, courage, faith, inspiration, inspirational, inspirational-quotes, life, life-quotes, motivation, moving-forward, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking, start-up",2130
25,"A star falls from the sky and into your hands. Then it seeps through your veins and swims inside your blood and becomes every part of you. And then you have to put it back into the sky. And it's the most painful thing you'll ever have to do and that you've ever done. But what's yours is yours. Whether it’s up in the sky or here in your hands. And one day, it'll fall from the sky and hit you in the head real hard and that time, you won't have to put it back in the sky again.",C. JoyBell C.,"cherishing, faith, heartwarming, hope, inspirational, learning, letting-go, life, life-and-learning, life-and-living, life-lessons, stars, treasure",2036
26,Sometimes God allows what he hates to accomplish what he loves.,"Joni Eareckson Tada,","faith, god, inspirational, love",1910
