,quote,author,tags,likes
0,"Yesterday is history, tomorrow is a mystery, today is a gift of God, which is why we call it the present.",Bill Keane," hope, inspirational, misattributed-eleanor-roosevelt, past, present, widely-misattributed",42630
1,"Listen to the mustn'ts, child. Listen to the don'ts. Listen to the shouldn'ts, the impossibles, the won'ts. Listen to the never haves, then listen close to me... Anything can happen, child. Anything can be.",Shel Silverstein,"anything-can-be, hope, impossible, inspirational, musn-t, possibilities, shouldn-t, won-t",22560
2,"You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.",John Lennon,"beatles, connection, dreamers, dreaming, dreams, hope, inspirational, peace",18836
3,"Hold fast to dreams,
For if dreams die
Life is a broken-winged bird,
That cannot fly.",Langston Hughes,"dreams, hope, inspiration, knowledge, wisdom",11217
4,"I like the night. Without the dark, we'd never see the stars.","Stephenie Meyer,","bella-swan, dreams, edward, hope, night, stars",11041
5,"It's really a wonder that I haven't dropped all my ideals, because they seem so absurd and impossible to carry out. Yet I keep them, because in spite of everything, I still believe that people are really good at heart.","Anne Frank,","hope, human-nature",9548
6,I believe that imagination is stronger than knowledge. That myth is more potent than history. That dreams are more powerful than facts. That hope always triumphs over experience. That laughter is the only cure for grief. And I believe that love is stronger than death.,"Robert Fulghum,","hope, imagination, inspirational",9202
7,"Hope is the thing with feathers
That perches in the soul
And sings the tune without the words
And never stops at all.",Emily Dickinson,"feathers, hope, inspirational, souls",8777
8,"If you're reading this...
Congratulations, you're alive.
If that's not something to smile about,
then I don't know what is.","Chad Sugg,","alive, congratulations, hope, humanity, inspiration, inspirational, inspire, life, poetry, smile, wisdom",8430
9,"The world is indeed full of peril, and in it there are many dark places; but still there is much that is fair, and though in all lands love is now mingled with grief, it grows perhaps the greater.","J.R.R. Tolkien,","hope, inspirational, love",8149
10,"There is neither happiness nor misery in the world; there is only the comparison of one state with another, nothing more. He who has felt the deepest grief is best able to experience supreme happiness. We must have felt what it is to die, Morrel, that we may appreciate the enjoyments of life.
"" Live, then, and be happy, beloved children of my heart, and never forget, that until the day God will deign to reveal the future to man, all human wisdom is contained in these two words, 'Wait and Hope.",Alexandre Dumas,"hope, inspirational, wisdom",8127
11,"They say a person needs just three things to be truly happy in this world: someone to love, something to do, and something to hope for.",Tom Bodett,"happiness, hope, joy, love, wishing",8100
12,You cannot swim for new horizons until you have courage to lose sight of the shore.,William Faulkner,"courage, determination, hope, risk",6265
13,"And now these three remain: faith, hope and love. But the greatest of these is love.","Anonymous,","faith, god, hope, love",5891
14,"But I know, somehow, that only when it is dark enough can you see the stars.","Martin Luther King, Jr.","hope, inspirational",5679
15,Life's under no obligation to give us what we expect.,Margaret Mitchell,"expectation, hope, life",5628
16,"If pain must come, may it come quickly. Because I have a life to live, and I need to live it in the best way possible. If he has to make a choice, may he make it now. Then I will either wait for him or forget him.","Paulo Coelho,","forgetting, hope, love, pain, suffering, waiting",5568
17,"Blessed is he who expects nothing, for he shall never be disappointed.",Alexander Pope,"beatitudes, disappointment, expectations, hope",5422
18,"The things you do for yourself are gone when you are gone, but the things you do for others remain as your legacy.",Kalu Ndukwe Kalu,"hope, inspiration, inspirational, life, truth",5159
19,"Hope
Smiles from the threshold of the year to come,
Whispering 'it will be happier'...",Alfred Lord Tennyson,"happiness, hope, inspirational, new-year",4703
20,Never lose hope. Storms make people stronger and never last forever.,"Roy T. Bennett,","adversity, difficulty, hope, inspiration, inspirational, inspirational-attitude, inspirational-life, inspirational-quotes, inspire, inspiring, life, life-and-living, life-lessons, life-quotes, living, motivation, motivational, optimism, optimistic, perseverance, persistence, positive, positive-affirmation, positive-life, positive-thinking, storms",4072
21,"The very least you can do in your life is figure out what you hope for. And the most you can do is live inside that hope. Not admire it from a distance but live right in it, under its roof.","Barbara Kingsolver,",hope,4014
22,You can cut all the flowers but you cannot keep Spring from coming.,Pablo Neruda,"hope, inevitability, spring",3794
23,Tears shed for another person are not a sign of weakness. They are a sign of a pure heart.,"José N. Harris,","grief, grieving, hope, loss, love, pain, sadness, strength, tears",3742
