quote,author,tags,likes
The best and most beautiful things in the world cannot be seen or even touched. They must be felt with the heart,Helen Keller,"by-anne-sullivan, emotions, feelings",5545
None of us really changes over time. We only become more fully what we are.,"Anne Rice,",,5543
"Words are, of course, the most powerful drug used by mankind.",Rudyard Kipling,words,5537
The truth does not change according to our ability to stomach it.,Flannery O'Connor,truth,5531
"I can feel Peeta press his forehead into my temple and he asks, 'So now that you've got me, what are you going to do with me?' I turn into him. 'Put you somewhere you can't get hurt.","Suzanne Collins,","love, romance",5517
What is hell? I maintain that it is the suffering of being unable to love.,"Fyodor Dostoevsky,","hell, love, suffering",5515
I am haunted by humans.,"Markus Zusak,",,5512
Wrinkles should merely indicate where the smiles have been.,Mark Twain,age,5512
Life becomes easier and more beautiful when we can see the good in other people.,Roy T. Bennett,"goodness, inspiration, inspirational, inspirational-quotes, inspire, inspiring, kindness, life, life-quotes, living, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking",5501
"Vanity and pride are different things, though the words are often used synonymously. A person may be proud without being vain. Pride relates more to our opinion of ourselves, vanity to what we would have others think of us.","Jane Austen,","prejudice, pride, vanity",5501
Fear cuts deeper than swords.,"George R.R. Martin,","bravery, fear",5492
"Angry, and half in love with her, and tremendously sorry, I turned away.","F. Scott Fitzgerald,",,5489
The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.,Albert Einstein,"change, deep-thoughts, thinking, world",5487
Let us be grateful to the people who make us happy; they are the charming gardeners who make our souls blossom.,Marcel Proust,"gratitude, happiness",5486
It is amazing how complete is the delusion that beauty is goodness.,"Leo Tolstoy,","beauty, delusion, goodness, lies, self-deception, wisdom",5483
"You pierce my soul. I am half agony, half hope...I have loved none but you.","Jane Austen,",romantic,5481
"The most painful thing is losing yourself in the process of loving someone too much, and forgetting that you are special too.","Ernest Hemingway,","love, pain, relationships, self",5480
"Without deviation from the norm, progress is not possible.",Frank Zappa,"music, philosophy, progress",5479
"He is half of my soul, as the poets say.","Madeline Miller,","inspirational, love",5477
"Do you think I am an automaton? — a machine without feelings? and can bear to have my morsel of bread snatched from my lips, and my drop of living water dashed from my cup? Do you think, because I am poor, obscure, plain, and little, I am soulless and heartless? You think wrong! — I have as much soul as you — and full as much heart! And if God had gifted me with some beauty and much wealth, I should have made it as hard for you to leave me, as it is now for me to leave you. I am not talking to you now through the medium of custom, conventionalities, nor even of mortal flesh: it is my spirit that addresses your spirit; just as if both had passed through the grave, and we stood at God's feet, equal — as we are!","Charlotte Brontë,",chapter-xxiii,5473
You probably wouldn’t worry about what people think of you if you could know how seldom they do.,Olin Miller,"confidence, misattributed-eleanor-roosevelt, others, think, worry",5458
"Don't order any of the faerie food,"" said Jace, looking at her over the top of his menu. ""It tends to make humans a little crazy. One minute you're munching a faerie plum, the next minute you're running naked down Madison Avenue with antlers on your head. Not,"" he added hastily, ""that this has ever happened to me.","Cassandra Clare,","cassandra-clare, city-of-bones, jace, mortal-instruments",5454
Music was my refuge. I could crawl into the space between the notes and curl my back to loneliness.,Maya Angelou,"loneliness, music, refuge",5451
It's not denial. I'm just selective about the reality I accept.,Bill Watterson,,5446
"Sometimes crying or laughing are the only options left, and laughing feels better right now.","Veronica Roth,","crying, laughter, options",5442
War is what happens when language fails.,Margaret Atwood,,5441
"I have something I need to tell you,"" he says. I run my fingers along the tendons in his hands and look back at him. ""I might be in love with you."" He smiles a little. ""I'm waiting until I'm sure to tell you, though.""
""That's sensible of you,"" I say, smiling too. ""We should find some paper so you can make a list or a chart or something.""
I feel his laughter against my side, his nose sliding along my jaw, his lips pressing my ear.
""Maybe I'm already sure,"" he says, ""and I just don't want to frighten you.""
I laugh a little. ""Then you should know better.""
""Fine,"" he says. ""Then I love you.","Veronica Roth,","beatrice, divergent, humor, love, tobias",5440
"The truth is, unless you let go, unless you forgive yourself, unless you forgive the situation, unless you realize that the situation is over, you cannot move forward.","Steve Maraboli,","forgiveness, inspirational, letting-go, life, motivational, moving-forward, truth",5439
Let no man pull you so low as to hate him.,"Martin Luther King Jr.,","hatred, wisdom",5437
Everything is possible. The impossible just takes longer.,"Dan Brown,",,5430
"Blessed is he who expects nothing, for he shall never be disappointed.",Alexander Pope,"beatitudes, disappointment, expectations, hope",5423
"Friendship is the hardest thing in the world to explain. It's not something you learn in school. But if you haven't learned the meaning of friendship, you really haven't learned anything.",Muhammad Ali,friendship,5423
None but ourselves can free our minds.,Bob Marley,"bob-marley, inspirational, music, reggae",5419
Never say goodbye because goodbye means going away and going away means forgetting.,"J.M. Barrie,",goodbye,5416
"What I say is, a town isn’t a town without a bookstore. It may call itself a town, but unless it’s got a bookstore, it knows it’s not foolin’ a soul.","Neil Gaiman,","books, bookstore, towns",5416
"Each friend represents a world in us, a world possibly not born until they arrive, and it is only by this meeting that a new world is born.","Anais Nin,",friendship,5415
"Why, sometimes I've believed as many as six impossible things before breakfast.","Lewis Carroll,","alice-in-wonderland, breakfast, carroll",5411
"Love does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up.",James A. Baldwin,love,5411
"Let everything happen to you
Beauty and terror
Just keep going
No feeling is final",Rainer Maria Rilke,"enjoy-life, fearlessness, live-in-the-moment",5398
"I felt my lungs inflate with the onrush of scenery—air, mountains, trees, people. I thought, ""This is what it is to be happy.","Sylvia Plath,","ecstasy, happiness, nature",5396
"Do what is right, not what is easy nor what is popular.","Roy T. Bennett,","inspirational, integrity, motivational, what-is-right",5388
"Ever had a flying burrito hit you? Well, it's a deadly projectile, right up there with cannonballs and grenades.","Rick Riordan,",,5384
Woke up this morning with a terrific urge to lie in bed all day and read.,Raymond Carver,,5377
Trust yourself. You know more than you think you do.,Benjamin Spock,"parenting, philosophy, self-assurance",5375
"If you want to be happy, do not dwell in the past, do not worry about the future, focus on living fully in the present.","Roy T. Bennett,","focus, future, happiness, happy, inspiration, inspirational, inspirational-quotes, letting-go-of-the-past, life, life-and-living, life-quotes, live, living, living-in-the-present, living-life, living-life-to-the-fullest, living-now, worry",5372
Sometimes you make choices in life and sometimes choices make you.,"Gayle Forman,",,5363
"You can spend minutes, hours, days, weeks, or even months over-analyzing a situation; trying to put the pieces together, justifying what could've, would've happened... or you can just leave the pieces on the floor and move the fuck on.",Tupac Shakur,moving-on,5355
"You do not have to be good.
You do not have to walk on your knees
for a hundred miles through the desert, repenting.
You only have to let the soft animal of your body
love what it loves.
Tell me about despair, yours, and I will tell you mine.
Meanwhile the world goes on.
Meanwhile the sun and the clear pebbles of the rain
are moving across the landscapes,
over the prairies and the deep trees,
the mountains and the rivers.
Meanwhile the wild geese, high in the clean blue air,
are heading home again.
Whoever you are, no matter how lonely,
the world offers itself to your imagination,
calls to you like the wild geese, harsh and exciting –
over and over announcing your place
in the family of things.",Mary Oliver,"beauty, birds, nature, poetry, shore, woods",5355
Words can be like X-rays if you use them properly – they’ll go through anything. You read and you’re pierced.,"Aldous Huxley,","reading, words, writing",5347
"Success is not how high you have climbed, but how you make a positive difference to the world.","Roy T. Bennett,","inspiration, inspirational, inspirational-attitude, inspirational-life, inspirational-quotes, inspire, inspiring, leader, leadership, life, life-and-living, life-lessons, life-quotes, living, motivation, motivational, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking, success",5341
"Do not fear to be eccentric in opinion, for every opinion now accepted was once eccentric.",Bertrand Russell,"confidence, eccentricity, philosophy",5339
"No mourners. No funerals. Among them, it passed for 'good luck.","Leigh Bardugo,",,5335
"Men always say that as the defining compliment, don’t they? She’s a cool girl. Being the Cool Girl means I am a hot, brilliant, funny woman who adores football, poker, dirty jokes, and burping, who plays video games, drinks cheap beer, loves threesomes and anal sex, and jams hot dogs and hamburgers into her mouth like she’s hosting the world’s biggest culinary gang bang while somehow maintaining a size 2, because Cool Girls are above all hot. Hot and understanding. Cool Girls never get angry; they only smile in a chagrined, loving manner and let their men do whatever they want. Go ahead, shit on me, I don’t mind, I’m the Cool Girl.

Men actually think this girl exists. Maybe they’re fooled because so many women are willing to pretend to be this girl. For a long time Cool Girl offended me. I used to see men – friends, coworkers, strangers – giddy over these awful pretender women, and I’d want to sit these men down and calmly say: You are not dating a woman, you are dating a woman who has watched too many movies written by socially awkward men who’d like to believe that this kind of woman exists and might kiss them. I’d want to grab the poor guy by his lapels or messenger bag and say: The bitch doesn’t really love chili dogs that much – no one loves chili dogs that much! And the Cool Girls are even more pathetic: They’re not even pretending to be the woman they want to be, they’re pretending to be the woman a man wants them to be. Oh, and if you’re not a Cool Girl, I beg you not to believe that your man doesn’t want the Cool Girl. It may be a slightly different version – maybe he’s a vegetarian, so Cool Girl loves seitan and is great with dogs; or maybe he’s a hipster artist, so Cool Girl is a tattooed, bespectacled nerd who loves comics. There are variations to the window dressing, but believe me, he wants Cool Girl, who is basically the girl who likes every fucking thing he likes and doesn’t ever complain. (How do you know you’re not Cool Girl? Because he says things like: “I like strong women.” If he says that to you, he will at some point fuck someone else. Because “I like strong women” is code for “I hate strong women.”)","Gillian Flynn,",what-men-really-want,5332
"People say nothing is impossible, but I do nothing every day.","A.A. Milne,","humor, idleness, inspirational",5329
It's like everyone tells a story about themselves inside their own head. Always. All the time. That story makes you what you are. We build ourselves out of that story.,"Patrick Rothfuss,","identity, self-image, sense-of-self, stories, storytelling",5319
When love is not madness it is not love.,Pedro Calderon de la Barca,"love, romance",5317
"Rather than love, than money, than fame, give me truth.","Henry David Thoreau,","truth, values",5314
"It's all right to love someone who doesn't love you back, as long as they're worth you loving them. As long as they deserve it.","Cassandra Clare,","clockwork-angel, sophie-collins",5308
This moment will just be another story someday.,"Stephen Chbosky,",,5304
God has no religion.,Mahatma Gandhi,"god, religion",5298
"I may die young, but at least I'll die smart.","John Green,",,5297
"Clouds come floating into my life, no longer to carry rain or usher storm, but to add color to my sunset sky.","Rabindranath Tagore,","aspiration, assurance, beauty, clouds, color, conviction, inspirational, maturity, sunset",5297
Nowadays people know the price of everything and the value of nothing.,"Oscar Wilde,",cynic,5289
The journey of a thousand miles begins with a single step.,Lao Tzu,travel,5288
"I've got a stele we can use. Who wants to do me?""
""A regrettable choice of words,"" muttered Magnus.","Cassandra Clare,","jace-wayland, magnus-bane, regret, stele",5286
Life has no meaning. Each of us has meaning and we bring it to life. It is a waste to be asking the question when you are the answer.,Joseph Campbell,meaning-of-life,5285
There is nothing noble in being superior to your fellow man; true nobility is being superior to your former self.,Ernest Hemingway,"humility, self-improvement",5283
"He must have known I'd want to leave you.""
""No, he must have known you would always want to come back.","J.K. Rowling,","dumbledore, friendship, harry-potter, ron-weasley",5280
It is better to fail in originality than to succeed in imitation.,Herman Melville,,5279
I don't want to repeat my innocence. I want the pleasure of losing it again.,"F. Scott Fitzgerald,","lost-innocence, memories",5278
Nothing is so painful to the human mind as a great and sudden change.,"Mary Wollstonecraft Shelley,","change, human",5275
"That's the problem with drinking, I thought, as I poured myself a drink. If something bad happens you drink in an attempt to forget; if something good happens you drink in order to celebrate; and if nothing happens you drink to make something happen.","Charles Bukowski,",,5271
"Sometimes fate is like a small sandstorm that keeps changing directions. You change direction but the sandstorm chases you. You turn again, but the storm adjusts. Over and over you play this out, like some ominous dance with death just before dawn. Why? Because this storm isn't something that blew in from far away, something that has nothing to do with you. This storm is you. Something inside of you. So all you can do is give in to it, step right inside the storm, closing your eyes and plugging up your ears so the sand doesn't get in, and walk through it, step by step. There's no sun there, no moon, no direction, no sense of time. Just fine white sand swirling up into the sky like pulverized bones. That's the kind of sandstorm you need to imagine.

And you really will have to make it through that violent, metaphysical, symbolic storm. No matter how metaphysical or symbolic it might be, make no mistake about it: it will cut through flesh like a thousand razor blades. People will bleed there, and you will bleed too. Hot, red blood. You'll catch that blood in your hands, your own blood and the blood of others.

And once the storm is over you won't remember how you made it through, how you managed to survive. You won't even be sure, in fact, whether the storm is really over. But one thing is certain. When you come out of the storm you won't be the same person who walked in. That's what this storm's all about.","Haruki Murakami,",,5269
"Perhaps when we find ourselves wanting everything, it is because we are dangerously close to wanting nothing.",sylvia plath,goals,5267
"there is a loneliness in this world so great
that you can see it in the slow movement of
the hands of a clock.

people so tired
mutilated
either by love or no love.

people just are not good to each other
one on one.

the rich are not good to the rich
the poor are not good to the poor.

we are afraid.

our educational system tells us
that we can all be
big-ass winners.

it hasn't told us
about the gutters
or the suicides.

or the terror of one person
aching in one place
alone

untouched
unspoken to

watering a plant.","Charles Bukowski,",,5266
No. I can survive well enough on my own— if given the proper reading material.,"Sarah J. Maas,","reading, survival",5263
"I loved her against reason, against promise, against peace, against hope, against happiness, against all discouragement that could be.","Charles Dickens,",love,5260
The most beautiful experience we can have is the mysterious. It is the fundamental emotion that stands at the cradle of true art and true science.,"Albert Einstein,","1931, art, mystery, philosophy, science",5257
There are wounds that never show on the body that are deeper and more hurtful than anything that bleeds.,"Laurell K. Hamilton,","depression, pain, trauma",5256
Who said nights were for sleep?,Marilyn Monroe,,5255
We are not necessarily doubting that God will do the best for us; we are wondering how painful the best will turn out to be.,C.S. Lewis,god,5254
"You know, Minister, I disagree with Dumbledore on many counts...but you cannot deny he's got style...","J.K. Rowling,","dumbledore, fudge, minister, style",5251
"I went to the woods because I wished to live deliberately, to front only the essential facts of life, and see if I could not learn what it had to teach, and not, when I came to die, discover that I had not lived. I did not wish to live what was not life, living is so dear; nor did I wish to practise resignation, unless it was quite necessary. I wanted to live deep and suck out all the marrow of life, to live so sturdily and Spartan-like as to put to rout all that was not life, to cut a broad swath and shave close, to drive life into a corner, and reduce it to its lowest terms...",Henry David Thoreau,,5246
"In heaven, all the interesting people are missing.",Friedrich Nietzsche,,5245
"I will have you without armor, Kaz Brekker. Or I will not have you at all.","Leigh Bardugo,",six-of-crows,5244
"Books are the plane, and the train, and the road. They are the destination, and the journey. They are home.","Anna Quindlen,","books, journey, reading, travel",5241
Don’t grieve. Anything you lose comes round in another form.,Rumi,"bereavement, consolation, grief, loss, reincarnation",5240
"I’m here. I love you. I don’t care if you need to stay up crying all night long, I will stay with you. If you need the medication again, go ahead and take it—I will love you through that, as well. If you don’t need the medication, I will love you, too. There’s nothing you can ever do to lose my love. I will protect you until you die, and after your death I will still protect you. I am stronger than Depression and I am braver than Loneliness and nothing will ever exhaust me.","Elizabeth Gilbert,","comfort, healing, loneliness",5238
"Pursue what catches your heart, not what catches your eyes.","Roy T. Bennett,","gratitude, heart, inspiration, inspirational, inspirational-attitude, inspirational-life, inspirational-quotes, inspire, inspiring, life, life-and-living, life-lessons, life-quotes, living, motivation, motivational, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking, thoughts",5237
Fear of a name increases fear of the thing itself.,"J.K. rowling,",fear,5236
"Don't talk to me.""
""Why not?""
""Because I want to fix that in my memory for ever. Draco Malfoy, the amazing bouncing ferret...","J.K. Rowling,","ferret-malfoy, harry-potter, humor, ron-weasley",5234
"Dwell on the beauty of life. Watch the stars, and see yourself running with them.","Marcus Aurelius,","appreciation, awe, beauty, life, optimism, positivity, sense-of-wonder, stars",5234
"If you go home with somebody, and they don't have books, don't fuck 'em!",John Waters,"books, fuck, profanity, reading",5228
"Sometimes our light goes out, but is blown again into instant flame by an encounter with another human being.",Albert Schweitzer,"inspirational, life, spiritual, uplifting",5225
